Bathrooms;Bedrooms;Erf_size;Floor_size;Garages;Listing_date;Listing_number;Pet_friendly;Price;Town;Type_of_property;Garden;Pool;Secure_parking;Parking;No_pets_allowed;Furnished;Flatlet;Fibre_internet;Furnished_optional;ADSL_internet;Satellite_internet;Fixed_wimax_internet;month;year
3.0;3.0;;192.0;2.0;2020-07-24;108909566;;28000000.0;Waterfront, Cape Town;Apartment / Flat;;1.0;;;1.0;1.0;;;;;;;7;2020
2.0;2.0;281.0;140.0;1.0;2020-09-23;109154201;1.0;4950000.0;Sea Point, Cape Town;House;;1.0;;;;;;;;;;;9;2020
2.0;2.0;209.0;106.0;1.0;2020-07-25;108912704;;2500000.0;Harfield Village, Cape Town;House;;1.0;;;;;;;;;;;7;2020
1.0;3.0;;;1.0;2020-09-23;109154145;;690000.0;Parkwood, Cape Town;House;;;;5.0;;;;;;;;;9;2020
1.0;2.0;;86.0;;2020-09-23;109153982;;3500000.0;16 Fir Avenue, Bantry Bay, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
1.0;2.0;;;1.0;2020-09-23;109153799;;1500000.0;Kenilworth, Cape Town;Apartment / Flat;;;;1.0;1.0;;;;;;;;9;2020
2.0;4.0;651.0;180.0;1.0;2020-09-23;109152879;;3295000.0;Diep River, Cape Town;House;1.0;1.0;;;;;;;;;;;9;2020
1.0;;;40.0;;2020-07-23;108907280;;975000.0;Muizenberg, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;7;2020
2.0;3.0;818.0;229.0;;2020-09-23;109152592;;3200000.0;12 Mimosa Way, Pinelands, Cape Town;House;;;;;;;;;;;;;9;2020
1.0;;;32.0;;2020-09-23;109153611;;1090000.0;64 Sir Lowry Road, Zonnebloem, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
2.0;4.0;256.0;;;2020-09-23;109153376;;849000.0;69 Zone 21, Langa, Cape Town;House;1.0;;;2.0;;;;;;;;;9;2020
2.0;2.0;;100.0;;2020-09-23;109153579;1.0;3750000.0;88 Constantia Main Road, Wynberg Upper, Cape Town;Apartment / Flat;;;;2.0;;;;1.0;;;;;9;2020
1.0;1.0;;;;2020-09-23;109153581;;720000.0;14 First On Forest, Thornton, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
2.0;2.0;;65.0;;2020-09-23;109153055;;1900000.0;Observatory, Cape Town;House;;1.0;;1.0;;;;;;;;;9;2020
5.0;5.0;185.0;;;2020-09-23;107222918;;5950000.0;Gardens, Cape Town;House;;1.0;;;;;;;;;;;9;2020
2.0;5.0;;;;2020-09-23;109153584;;1695000.0;Retreat, Cape Town;House;;;;;;;;;;;;;9;2020
3.0;3.0;1088.0;295.0;;2020-09-23;109153723;;13500000.0;Camps Bay, Cape Town;House;;;;;;;;;;;;;9;2020
1.0;1.0;;126.0;;2020-09-23;109153468;;8500000.0;Waterfront, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;9;2020
1.0;2.0;;73.0;1.0;2020-09-23;109152871;;1825000.0;Lakeside, Cape Town;Townhouse;;;;1.0;;;;;;;;;9;2020
2.0;2.0;;93.0;;2020-09-23;109152821;;5900000.0;Rondebosch, Cape Town;Apartment / Flat;;;;2.0;;;;1.0;;;;;9;2020
7.0;6.0;;;;2020-09-23;109152978;;9250000.0;Green Point, Cape Town;House;1.0;;;3.0;;;;;;;;;9;2020
1.0;1.0;54.0;54.0;1.0;2020-09-23;109153066;;1599000.0;Claremont Upper, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.0;3.0;818.0;;1.0;2020-09-23;109153312;;3250000.0;Pinelands, Cape Town;House;1.0;;;2.0;;;;1.0;;;;;9;2020
;;;;;2020-09-23;109152839;;895000.0;Barnstaple Place 2 Barnstaple Rd Wynberg, Wynberg, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.0;1.0;;67.0;;2020-09-23;109153771;;2850000.0;6 Quendon Road, Sea Point, Cape Town;Apartment / Flat;;1.0;;1.0;1.0;1.0;;1.0;;;;;9;2020
2.0;4.0;530.0;;1.0;2020-09-23;109153366;;2395000.0;5 Desande Road, Southfield, Cape Town;House;1.0;1.0;;3.0;;;;1.0;;;;;9;2020
2.0;2.0;133.0;93.0;1.0;2020-09-23;109153009;1.0;4950000.0;5 Brownlow Rd, Tamboerskloof, Cape Town;Apartment / Flat;1.0;;;;;;;1.0;;;;;9;2020
1.0;2.0;;91.0;1.0;2020-09-23;109151558;1.0;3150000.0;Oranjezicht, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.0;2.0;;143.0;;2020-09-23;109152082;;12995000.0;Waterfront, Cape Town;Apartment / Flat;;;;2.0;;;;1.0;;;;;9;2020
2.0;2.0;;84.0;;2020-09-22;109150743;1.0;4750000.0;7 On T Thornhill Road, Green Point, Cape Town;Apartment / Flat;;;;1.0;;;;1.0;;;;;9;2020
1.0;3.0;263.0;105.0;1.0;2020-09-23;109151857;;2495000.0;Kenilworth, Cape Town;House;1.0;;;;;;;;;;;;9;2020
1.0;1.0;;61.0;;2020-07-23;108907279;;1265000.0;Muizenberg, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;7;2020
3.0;3.0;144.0;144.0;;2020-09-22;109148820;;7950000.0;21 Fir Avenue, Bantry Bay, Cape Town;Apartment / Flat;;;2.0;;;;;;;;;;9;2020
3.0;3.0;421.0;;2.0;2020-09-22;109150356;;2400000.0;18 Cox Crescent, Mountview, Cape Town;House;;1.0;;2.0;;;;;;;;;9;2020
3.5;3.0;;301.0;;2018-04-17;106249560;;9950000.0;1 Victoria Road, Camps Bay, Cape Town;Apartment / Flat;;;2.0;;;;;;;;;;4;2018
2.0;3.0;434.0;127.0;1.0;2020-09-22;109149905;1.0;1295000.0;Charlesville, Cape Town;House;1.0;;;3.0;;;;;;;;;9;2020
2.0;2.0;;73.0;;2020-09-23;105778949;;2795000.0;Rondebosch, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
3.5;3.0;;261.0;1.0;2020-09-23;109151866;;15950000.0;Bantry Bay, Cape Town;Apartment / Flat;;1.0;;1.0;;;;;;;;;9;2020
1.0;2.0;;85.0;;2020-09-22;109150758;;1600000.0;28 Mile End Road, Diep River, Cape Town;Apartment / Flat;1.0;;;1.0;1.0;;;;;;;;9;2020
3.5;3.0;898.0;;1.0;2020-09-23;109151344;;6950000.0;13 Avenue Thibault, Newlands, Cape Town;House;1.0;1.0;;3.0;1.0;;;;;;;;9;2020
1.0;2.0;;;;2020-09-23;109151364;;795000.0;Thornton, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
1.0;2.0;;78.0;;2020-09-23;109151568;;2350000.0;Eilat, 10 Hall Road, Sea Point, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.5;3.0;231.0;170.0;2.0;2020-09-23;109151766;1.0;5950000.0;Newlands, Cape Town;Townhouse;;;;2.0;;;;;;;;;9;2020
3.0;5.0;936.0;150.0;2.0;2020-09-23;109151546;;8700000.0;5 Springfield Close, Rondebosch, Cape Town;House;;1.0;;;;;;;;;;;9;2020
2.5;3.0;1001.0;303.0;2.0;2020-09-21;109144854;;7695000.0;6 Weaverbird Close, Tokai, Cape Town;House;;;;4.0;;;;;;;;;9;2020
2.0;3.0;79.0;79.0;1.0;2020-09-23;109151160;1.0;1250000.0;6 St Georges Street, Muizenberg, Cape Town;Apartment / Flat;;1.0;1.0;;;;;;;;;;9;2020
2.0;2.0;;159.0;;2020-09-22;109147053;;18995000.0;42 Victoria Road, Bantry Bay, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;9;2020
2.0;4.0;622.0;148.0;1.0;2020-09-23;109151909;;2850000.0;8 Denton Street, Kenwyn, Cape Town;House;;;;3.0;;;;;;;;;9;2020
1.0;1.0;;58.0;1.0;2020-09-23;109152325;;1350000.0;226 Victoria Road, Woodstock, Cape Town;Apartment / Flat;;;;;;;;1.0;;;;;9;2020
1.0;1.0;41.0;41.0;;2020-09-14;109113863;;2495000.0;16 Bree Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;1.0;;;;;;;;;9;2020
1.0;2.0;;75.0;;2020-09-13;109110971;;2250000.0;704 The Iron Works, 242 Sir Lowry Road, Woodstock, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
2.0;2.0;88.0;88.0;;2020-09-22;109146266;;5400000.0;2 Dockrail Road, Foreshore, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;9;2020
2.0;3.0;367.0;160.0;1.0;2020-09-15;109119922;;3850000.0;78 Roodebloem Road, Woodstock, Cape Town;House;;;;1.0;;;;;;;;;9;2020
11.0;11.0;938.0;722.0;3.0;2020-09-14;109112995;1.0;18500000.0;3 Capri Road Sonnekus Guest House, St James, Cape Town;House;;;;;;1.0;;;;;;;9;2020
2.0;3.0;;102.0;1.0;2020-09-16;109123904;;4795000.0;4 Clyde Road, Green Point, Cape Town;Townhouse;;;;;;;;;;;;;9;2020
1.0;1.0;;67.0;;2020-09-15;109121649;;2425000.0;27 Breda Street, Oranjezicht, Cape Town;Apartment / Flat;;1.0;1.0;;;;;;;;;;9;2020
1.0;1.0;;61.0;;2020-09-17;109131219;;2850000.0;57 Prestwich Street, De Waterkant, Cape Town;Apartment / Flat;;1.0;2.0;;;;;;;;;;9;2020
2.0;2.0;;128.0;;2020-09-14;109114362;;4295000.0;2a Avenue Francaise Street, Fresnaye, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;9;2020
4.0;4.0;747.0;275.0;2.0;2020-09-11;109107673;;14995000.0;48 Spurwing, Steenberg Golf Estate, Cape Town;House;;1.0;;4.0;;;;;;;;;9;2020
3.0;3.0;171.0;171.0;;2020-09-15;109118778;;18800000.0;16 Bree Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;2.0;;;;;;;;;9;2020
1.5;2.0;;104.0;1.0;2020-09-18;109136644;;4550000.0;305 Beach Road, Sea Point, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
3.0;3.0;211.0;215.0;;2020-09-22;109148366;1.0;3950000.0;76 Upper Melbourne Street, Walmer Estate, Cape Town;House;;;;1.0;;;;;;;;;9;2020
6.0;5.0;571.0;;2.0;2020-09-23;109153521;1.0;11900000.0;85 Joubert Road, Green Point, Cape Town;House;1.0;1.0;2.0;;;;;;;;;;9;2020
1.0;1.0;71.0;71.0;;2020-09-17;109130156;;4600000.0;16 Bree Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;1.0;;;;;;;;;9;2020
3.0;5.0;2000.0;451.0;2.0;2020-09-14;109112511;;13250000.0;3 Firgrove Estate, 24 Ridgedale Crescent, Constantia, Cape Town;House;;;;2.0;;;;;;;;;9;2020
2.0;2.0;191.0;191.0;;2020-09-15;109118726;;32000000.0;16 Bree Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;2.0;;;;;;;;;9;2020
1.0;0.5;43.0;43.0;;2020-09-15;109118910;;2590000.0;16 Bree Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;1.0;;;;;;;;;9;2020
10.0;10.0;803.0;500.0;3.0;2020-09-11;109107758;1.0;5800000.0;18 Noble Circle, Ottery, Cape Town;House;;1.0;5.0;;;;;;;;;;9;2020
2.0;2.0;;114.0;1.0;2020-09-22;109148312;;2495000.0;16811 Loop Street, Cape Town City Centre, Cape Town;Apartment / Flat;;;;;1.0;;;;;;;;9;2020
1.5;2.0;;101.0;;2020-09-21;109145001;;3300000.0;219 Norfolk, Sea Point, Cape Town;Apartment / Flat;;;;;1.0;;;;;;;;9;2020
4.0;5.0;314.0;471.0;2.0;2018-09-21;106776554;1.0;14995000.0;Green Point, Cape Town;House;;1.0;;;;;;;;;;;9;2018
2.0;2.0;81.0;81.0;2.0;2020-09-21;109144422;;2750000.0;11 High Cape Avenue, Vredehoek, Cape Town;Apartment / Flat;;1.0;;;;;;1.0;;;;;9;2020
1.0;2.0;;88.0;;2020-06-21;108783005;1.0;1350000.0;5 East-lee 14 Brent Road, Plumstead, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;6;2020
2.0;3.0;2670.0;315.0;2.0;2020-09-21;109141336;;8900000.0;3 Touraine Close, Constantia, Cape Town;House;;;;5.0;;;;;;;;;9;2020
2.0;3.0;572.0;108.0;1.0;2020-09-23;109152211;;2195000.0;4 Auriga Road, Retreat, Cape Town;House;1.0;;;1.0;;;;;;;;;9;2020
2.0;2.0;;86.0;2.0;2020-09-22;109148517;;2800000.0;25 Wilderness Road, Claremont Upper, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.5;2.0;;229.0;2.0;2020-09-23;109153453;1.0;9500000.0;252 Roggebaai Square, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;;;;;;;;;;9;2020
4.0;4.0;991.0;375.0;;2020-09-10;109100167;;19800000.0;22 Fisherman's Bend, Llandudno, Cape Town;House;;1.0;;4.0;;;;;;;;;9;2020
1.0;1.0;;72.0;;2020-09-21;109144901;;1995000.0;Dunhof, 12 Hall Road, Sea Point, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
2.0;2.0;;90.0;2.0;2020-09-21;109142015;1.0;2995000.0;54 Roeland Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;;;;;;;;;;9;2020
2.0;3.0;;107.0;1.0;2020-09-10;109102413;;3250000.0;39 High Level Road, Green Point, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
1.0;3.0;491.0;199.0;1.0;2020-09-10;109101574;1.0;2200000.0;112 Rotherfield Road, Plumstead, Cape Town;House;1.0;;;1.0;;;;;;;;;9;2020
2.5;2.0;;111.0;;2020-09-10;109101732;1.0;7950000.0;10 Quendon Road, Sea Point, Cape Town;Apartment / Flat;;1.0;2.0;;;;;;;;;;9;2020
4.0;4.0;918.0;276.0;2.0;2020-09-11;109108159;;5550000.0;12 Alexandra Road, Wynberg Upper, Cape Town;House;1.0;1.0;;;;;;;;;;;9;2020
5.0;6.0;603.0;440.0;2.0;2020-09-11;109108152;;10495000.0;21 Eton Way, Silvertree Estate, Cape Town;House;;;2.0;;;;;;;;;;9;2020
4.5;5.0;;355.0;;2020-09-21;109142619;;55000000.0;30 Victoria Road, Clifton, Cape Town;Apartment / Flat;;1.0;4.0;;;;;;;;;;9;2020
4.0;4.0;1085.0;;2.0;2020-09-16;109126902;;4950000.0;4 Gild Lane, Tokai, Cape Town;House;;;;2.0;;;;;;;;;9;2020
5.0;7.0;2032.0;600.0;3.0;2020-09-21;109144431;;11500000.0;32 Duckitt Avenue, Constantia, Cape Town;House;;;;5.0;;;;;;;;;9;2020
1.0;1.0;;71.0;;2020-09-17;109132414;;3299000.0;253 Ocean View Drive, Sea Point, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;9;2020
8.5;8.0;1034.0;;4.0;2020-02-11;108430362;;65000000.0;31 Theresa Avenue, Camps Bay, Cape Town;House;;;;4.0;;;;;;;;;2;2020
2.0;4.0;894.0;175.0;2.0;2020-09-21;109144752;1.0;4850000.0;70 Rhodes Avenue, Newlands, Cape Town;House;1.0;;;;;;;;;;;;9;2020
1.5;3.0;;97.0;1.0;2020-09-22;109146650;;1850000.0;1 Shannon Mews, 24 Liesbeek Road, Rosebank, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
4.5;5.0;2743.0;;2.0;2020-09-17;109128861;1.0;11950000.0;119 Rathfelder Avenue, Constantia, Cape Town;House;1.0;1.0;;;;;;;;;;;9;2020
2.0;3.0;716.0;150.0;1.0;2020-09-17;109133849;1.0;3250000.0;5 Owen Drive, Meadowridge, Cape Town;House;1.0;;;1.0;;;;;;;;;9;2020
1.0;1.0;95.0;62.0;;2020-09-17;108356738;;1730000.0;Melrose Village, 8 Melrose Rd, Muizenberg, Cape Town;Apartment / Flat;1.0;1.0;;1.0;1.0;1.0;;1.0;;;;;9;2020
2.0;3.0;;226.0;1.0;2020-09-22;109149322;;10990000.0;191 Beach Road, Sea Point, Sea Point, Cape Town;Apartment / Flat;1.0;;;;1.0;;;;;;;;9;2020
1.5;1.0;;106.0;1.0;2020-09-23;109153425;;2290000.0;8 Adderley Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;;1.0;;;;;;;;9;2020
2.0;2.0;126.0;2203.0;1.0;2020-09-23;109152267;;5495000.0;2 Gorleston Road, Fresnaye, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
1.0;1.0;;68.0;;2020-09-21;109142724;1.0;1700000.0;267 Victoria Road, Salt River, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.0;2.0;;159.0;;2020-09-22;109148523;1.0;19995000.0;Parergon, Dock Road, Waterfront, Cape Town;Apartment / Flat;;;;2.0;;;;1.0;;;;;9;2020
1.5;2.0;;101.0;1.0;2020-09-17;109130955;;4295000.0;14 Milton Road, Sea Point, Cape Town;Apartment / Flat;;;;1.0;1.0;;;;;;;;9;2020
3.5;4.0;267.0;400.0;;2020-09-20;109139855;1.0;7950000.0;9 Herbert Road, Sea Point, Cape Town;House;1.0;1.0;;;;;;;;;;;9;2020
2.0;2.0;;100.0;4.0;2020-09-06;109070929;;3650000.0;10 Hospital Road, De Waterkant, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.0;2.0;;73.0;;2020-09-22;109149972;;2595000.0;21 Aandbloem Street, Vredehoek, Cape Town;Apartment / Flat;;;;2.0;;;;;;;;;9;2020
2.0;3.0;840.0;117.0;1.0;2020-09-08;109088929;;2600000.0;8 Cranko Avenue, Kirstenhof, Cape Town;House;;1.0;;2.0;;;;;;;;;9;2020
1.0;3.0;;87.0;1.0;2020-09-18;109134744;1.0;2095000.0;22 Hayworth Way, Kirstenhof, Cape Town;Townhouse;;;;1.0;;;;;;;;;9;2020
1.0;2.0;88.0;88.0;;2020-09-18;109137290;1.0;3650000.0;22 Woodside Rd Tamboerskloof, Tamboerskloof, Cape Town;Apartment / Flat;;;;1.0;;;;;1.0;;;;9;2020
1.0;3.0;104.0;104.0;1.0;2020-09-18;109136341;;2995000.0;27 Breda Street, Oranjezicht, Cape Town;Apartment / Flat;1.0;1.0;;;;;;1.0;;;;;9;2020
1.0;2.0;;89.0;;2020-09-17;109133832;;4895000.0;23 Main Road, Green Point, Cape Town;Apartment / Flat;;1.0;;1.0;1.0;1.0;;;;;;;9;2020
2.0;3.0;;166.0;1.0;2020-09-03;109062134;;8950000.0;14 Friars Road, Sea Point, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;9;2020
1.0;1.0;;59.0;;2020-09-21;109142248;;8500000.0;64 Victoria Road, Clifton, Cape Town;Apartment / Flat;;1.0;;;;;;;;;;;9;2020
2.5;2.0;;81.0;;2020-09-07;109075473;;4150000.0;93 Beach Road, Mouille Point, Cape Town;Apartment / Flat;;1.0;;;;;;;;;;;9;2020
1.0;0.5;;52.0;;2020-09-14;109115838;;1850000.0;367 Main Road, Sea Point, Cape Town;Apartment / Flat;1.0;;;;1.0;;;;;;;;9;2020
1.0;2.0;45.0;45.0;;2020-09-16;109124710;1.0;850000.0;14 Sunrise Boulevard, Muizenberg, Cape Town;Apartment / Flat;;1.0;1.0;;;;;;;;;;9;2020
5.5;5.0;1437.0;623.0;3.0;2020-09-03;109063122;;19900000.0;2b Warblers Grove, Warbers Way, Constantia, Cape Town;House;1.0;1.0;4.0;;;;;;;;;;9;2020
4.5;4.0;1375.0;640.0;2.0;2020-02-11;108431178;;32000000.0;Silverhurst Estate, Cape Town;House;;;;;;;;;;;;;2;2020
3.0;4.0;729.0;236.0;2.0;2020-09-19;109139501;;5175000.0;19 Moolenberg, Rondebosch, Cape Town;House;;1.0;5.0;;;;;;;;;;9;2020
1.0;1.0;;53.0;;2020-09-16;109125447;;1400000.0;124 Harrington Street, Cape Town City Centre, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
2.0;3.0;121.0;112.0;;2020-09-19;109139373;;2925000.0;Haven House, 2 Mains Avenue, Kenilworth Upper, Cape Town, Kenilworth Upper, Cape Town;Apartment / Flat;;;;2.0;1.0;;;1.0;;;;;9;2020
1.0;2.0;;70.0;;2020-09-16;109125533;1.0;2350000.0;13 St Quintons, Oranjezicht, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
2.0;2.0;;75.0;1.0;2020-09-15;109117850;;2350000.0;13 Grove Avenue, Claremont Upper, Cape Town;Apartment / Flat;;1.0;;;1.0;;;;;;;;9;2020
2.0;3.0;495.0;165.0;1.0;2020-09-15;109121547;1.0;5200000.0;48 Almond Street, Newlands, Cape Town;House;1.0;;;1.0;;;;;;;;;9;2020
2.0;2.0;;89.0;;2020-09-04;109068555;;2695000.0;32 Glynn Street, Gardens, Cape Town;Apartment / Flat;;1.0;;1.0;;;;1.0;;;;;9;2020
2.0;3.0;404.0;145.0;;2020-09-22;109150136;;5450000.0;39 Wilderness Road, Claremont, Cape Town;Apartment / Flat;1.0;1.0;2.0;;;;;;;;;;9;2020
1.0;3.0;;85.0;;2020-09-18;109136262;;2800000.0;201 Main Road, Three Anchor Bay, Cape Town;Apartment / Flat;;;;1.0;;;;1.0;;;;;9;2020
2.5;3.0;;270.0;2.0;2020-09-17;109133185;;6995000.0;12 Clifford Road, Sea Point, Cape Town;Townhouse;;;;;;;;1.0;;;;;9;2020
1.0;1.0;54.0;54.0;;2020-09-17;109128426;1.0;2100000.0;777 Vriende St, Oranjezicht, Cape Town;Apartment / Flat;;1.0;;1.0;;;;1.0;;;;;9;2020
1.0;1.0;50.0;50.0;;2020-09-16;109122779;1.0;2195000.0;275 Beach Rd, Sea Point, Cape Town;Apartment / Flat;;;;;;1.0;;;;;;;9;2020
2.0;3.0;;138.0;1.0;2020-09-04;109065734;1.0;3400000.0;18 Sir George Grey Street, Oranjezicht, Cape Town;Apartment / Flat;;;;;;;;1.0;;;;;9;2020
2.5;3.0;;174.0;1.0;2020-09-07;109072430;;7950000.0;265 Beach Road, Sea Point, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
3.0;2.0;;81.0;;2020-09-15;109120840;;3175000.0;35 Grove Avenue, Claremont Upper, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
1.0;1.0;;66.0;;2020-09-06;109071455;;2100000.0;210 Upper Buitenkant Street, Oranjezicht, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
1.0;1.0;;63.0;1.0;2020-09-16;109127240;;1795000.0;31 Adderley Street, Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;;1.0;;;;;;;;9;2020
2.0;3.0;160.0;141.0;2.0;2020-09-14;109115464;;4500000.0;5 Roodehek Street, Gardens, Cape Town;Apartment / Flat;;;;;1.0;;;;;;;;9;2020
1.0;1.0;;80.0;;2020-09-03;109064290;1.0;1980000.0;De Oude Schuur 120 Bree Street, Cape Town City Centre, Cape Town;Apartment / Flat;;;;;;;;;;;;;9;2020
5.0;5.0;991.0;565.0;3.0;2020-09-16;109125561;1.0;17995000.0;18 Apostle Road, Llandudno, Cape Town;House;1.0;;;2.0;;;;;;;;;9;2020
2.0;3.0;312.0;114.0;;2020-09-15;109121205;;2500000.0;42 Chichester Road, Claremont, Cape Town;House;1.0;;;3.0;;;;;;;;;9;2020
1.0;2.0;;120.0;;2020-09-08;109088481;;3799000.0;7 Marseilles Avenue, Fresnaye, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;9;2020
1.0;0.5;;52.0;1.0;2020-09-13;109111376;;1950000.0;367 Main Road, Sea Point, Cape Town;Apartment / Flat;1.0;;;;1.0;;;;;;;;9;2020
1.0;0.5;;45.0;;2020-09-16;109127826;;1595000.0;71 High Cape Two, 11 High Cape Avenue, High Cape Estate, Vredehoek, Cape Town;Apartment / Flat;;1.0;;1.0;;;;;;;;;9;2020
1.0;2.0;85.0;85.0;1.0;2020-09-14;109116323;1.0;2495000.0;27 St James Street, Vredehoek, Cape Town;Apartment / Flat;;;;1.0;;;;1.0;;;;;9;2020
2.0;2.0;;82.0;2.0;2020-09-19;109138723;;1950000.0;31 Brickflield, Woodstock, Cape Town;Apartment / Flat;;1.0;;;;;;;;;;;9;2020
3.0;3.0;781.0;357.0;2.0;2020-09-22;109150581;1.0;13650000.0;4 Sillery Avenue, Constantia, Cape Town;House;1.0;;;;;;;;;;;;9;2020
2.0;4.0;396.0;;1.0;2020-09-21;109144460;;4400000.0;12 Queen Victoria Road, Claremont, Cape Town;House;1.0;;;2.0;;;;;;;;;9;2020
2.5;3.0;319.0;160.0;2.0;2020-09-16;109124685;1.0;3995000.0;18 Albion Road, Rondebosch, Cape Town;House;;;;3.0;;;;;;;;;9;2020
1.0;2.0;;63.0;1.0;2020-09-14;109114902;1.0;1600000.0;1 Constitution, Zonnebloem, Cape Town;Apartment / Flat;;1.0;;;;;;;;;;;9;2020
6.0;10.0;1228.0;982.0;2.0;2020-09-22;109146024;1.0;9980000.0;5 Boulder Road, Lakeside, Cape Town;House;;;6.0;;;;;;;;;;9;2020
