Bathrooms;Bedrooms;Erf_size;Floor_size;Garages;Listing_date;Listing_number;Pet_friendly;Price;Town;Type_of_property;Garden;Pool;Secure_parking;Parking;No_pets_allowed;Furnished;Flatlet;Fibre_internet;Furnished_optional;ADSL_internet;Satellite_internet;Fixed_wimax_internet;month;year
3.0;3.0;304.0;326.0;2.0;2020-07-10;108859219;1.0;6480000.0;Tokai, Cape Town;House;;;;;;;;;;;;;7;2020
3.0;3.0;;140.0;2.0;2020-09-23;109153971;1.0;6250000.0;14 Graham Road, Sea Point, Cape Town;Townhouse;;;;;;;;;;;;;9;2020
3.5;4.0;659.0;300.0;2.0;2020-09-23;109154367;;13950000.0;Camps Bay, Cape Town;House;1.0;1.0;2.0;;;;;;;;;;9;2020
1.0;2.0;;;;2020-09-23;109154455;;1050000.0;Ottery, Cape Town;Apartment / Flat;;;;1.0;;;;;;;;;9;2020
1.0;1.0;;61.0;;2020-07-23;108907258;;1265000.0;Muizenberg, Cape Town;Apartment / Flat;;;1.0;;;;;;;;;;7;2020
3.0;6.0;677.0;;;2020-09-18;109136653;1.0;9900000.0;7 Breda Street, Oranjezicht, Cape Town;House;;;;8.0;;;;;;;;;9;2020
3.5;3.0;;410.0;2.0;2020-07-24;108909235;;55000000.0;Waterfront, Cape Town;Apartment / Flat;;1.0;;;1.0;;;;;;;;7;2020
4.5;4.0;;300.0;;2020-09-23;109154447;1.0;15999000.0;Sea Point, Cape Town;Apartment / Flat;;1.0;;2.0;;;;;;;;;9;2020
1.0;1.0;;51.0;;2020-09-08;109087490;;1385000.0;36 Clifford Ave, Vredehoek, Cape Town;Apartment / Flat;;;;1.0;1.0;;;;;;;;9;2020
1.0;0.5;;43.0;;2020-09-07;109072931;;1400000.0;Cape Town City Centre, Cape Town;Apartment / Flat;;1.0;;1.0;1.0;1.0;;;;;;;9;2020
1.5;2.0;;57.0;;2020-09-23;109154135;1.0;1475000.0;5 Hamlet Way, Pinelands, Cape Town;Townhouse;;1.0;2.0;;;;;;;;;;9;2020
8.0;8.0;2842.0;650.0;3.0;2020-09-23;109154306;1.0;20000000.0;Kenilworth Upper, Cape Town;House;1.0;1.0;;8.0;;1.0;;;;;;;9;2020
2.0;3.0;645.0;;;2020-09-23;109153823;;2195000.0;Thornton, Cape Town;House;;;;2.0;1.0;;;;;;;;9;2020
3.0;4.0;1085.0;;;2020-09-23;109154445;;4450000.0;Tokai, Cape Town;House;;1.0;;5.0;;;;;;;;;9;2020
4.5;4.0;252.0;;1.0;2020-09-23;109154270;1.0;4850000.0;12 Faure Street, Gardens, Cape Town;House;1.0;1.0;;1.0;;;1.0;;;;;;9;2020
